study,participant_id,study_participant_id,session_id,n_calibration_epochs,calibration_auc_reproduced,calibration_auc_ea_session,calibration_auc_rbf,calibration_auc_gbm,calibration_auc_ea_cohort
StudyP,P_03,StudyP:P_03,SE002,4320,0.8198372615039281,0.8231306116722782,0.7002960157126823,0.6859273288439957,0.8236749438832773
StudyP,P_04,StudyP:P_04,SE001,4320,0.7671415544332212,0.7469633838383838,0.6573604096520763,0.6253212682379349,0.7442101571268238
StudyP,P_04,StudyP:P_04,SE002,4320,0.8441519360269361,0.8359981762065096,0.6423709315375982,0.6791028338945005,0.8401409932659933
StudyP,P_05,StudyP:P_05,SE001,4311,0.8765720352090891,0.8819701060209792,0.7324263899434743,0.6944381169324221,0.8878181332433421
StudyP,P_05,StudyP:P_05,SE002,4293,0.8558240400928496,0.845150596636687,0.7038616342379307,0.6911161116750548,0.8530300341442292
StudyP,P_06,StudyP:P_06,SE001,4320,0.8922993827160495,0.8925820707070707,0.7478829966329966,0.7625708473625141,0.8914386924803592
StudyP,P_06,StudyP:P_06,SE002,4320,0.8481993546576879,0.85118265993266,0.7332982603815938,0.7663012065095398,0.8504945286195286
StudyP,P_07,StudyP:P_07,SE001,4190,0.8118065600454752,0.8042325713590882,0.6761386906018535,0.695164299530999,0.8064750031517878
StudyP,P_07,StudyP:P_07,SE002,4317,0.8742937972088843,0.8855972538118103,0.7404522225030186,0.7383251902395193,0.8850005615926768
StudyP,P_08,StudyP:P_08,SE001,4320,0.949219276094276,0.9468588664421996,0.840169051627385,0.8639464085297418,0.9470279180695849
StudyP,P_08,StudyP:P_08,SE002,4320,0.9490572390572392,0.955334595959596,0.8667087542087544,0.8672081930415264,0.9574824635241302
StudyP,P_09,StudyP:P_09,SE001,4316,0.7027256094942639,0.6920235146206117,0.708774619640241,0.6658845823803661,0.6865630035415536
StudyP,P_09,StudyP:P_09,SE002,4320,0.7434161054994388,0.7412745510662178,0.7147699214365882,0.6861889730639731,0.7458571829405163
StudyP,P_10,StudyP:P_10,SE001,4320,0.8326297699214366,0.8288973063973064,0.728986391694725,0.7346050785634118,0.8240425084175084
StudyP,P_10,StudyP:P_10,SE002,4288,0.7899188166744693,0.7855136967022883,0.718960899037814,0.7048769138792633,0.79240141744818
StudyP,P_11,StudyP:P_11,SE001,4227,0.8288455727919231,0.8304565385607428,0.7980935185526363,0.7578429566306792,0.8270068904528538
StudyP,P_11,StudyP:P_11,SE002,4314,0.871337745180689,0.8747049401450009,0.8453956612150846,0.847201849041758,0.8756969032765695
StudyP,P_12,StudyP:P_12,SE001,4320,0.8649158249158249,0.8636181257014591,0.753729657687991,0.7529026374859707,0.8653065375982043
StudyP,P_12,StudyP:P_12,SE002,4320,0.8847067901234568,0.8965425084175085,0.7942852132435466,0.7898323512906845,0.8897727272727273
StudyP,P_13,StudyP:P_13,SE001,4278,0.8622005511977953,0.855320605744604,0.658588973752213,0.7087554217350699,0.8524922792200723
StudyP,P_13,StudyP:P_13,SE002,4320,0.8153493265993266,0.8173049943883277,0.6662752525252524,0.6854987373737373,0.8161672278338944
StudyP,P_14,StudyP:P_14,SE001,4314,0.7585061541055471,0.7360127578261114,0.649579188444894,0.6088693587365819,0.7398731242623503
StudyP,P_14,StudyP:P_14,SE002,4320,0.8248428731762065,0.8301697530864198,0.6975932940516274,0.7165081369248035,0.8279391133557801
StudyP,P_15,StudyP:P_15,SE001,4060,0.8430679129096458,0.8480900266289192,0.7222797415376866,0.7156611679263795,0.8484192018338166
StudyP,P_15,StudyP:P_15,SE002,3898,0.8167078741691746,0.8092827296542467,0.6796406070709476,0.7052778800147221,0.8212119768776115
StudyP,P_16,StudyP:P_16,SE001,4311,0.9458516121028948,0.9532051751942532,0.7358405320672583,0.7502170897567466,0.9542906239779864
StudyP,P_16,StudyP:P_16,SE002,4320,0.9468988496071828,0.9581425364758698,0.7764197530864199,0.7726452020202019,0.9536265432098765
StudyP,P_17,StudyP:P_17,SE001,4320,0.8327006172839506,0.826013608305275,0.747831088664422,0.7505127665544332,0.8277335858585858
StudyP,P_17,StudyP:P_17,SE002,4306,0.8586006931677597,0.8315521890678227,0.8757068765601038,0.852756545114127,0.8390851484114376
StudyP,P_18,StudyP:P_18,SE001,4307,0.7373141931459954,0.7248217072640708,0.687909395963684,0.6447466084163767,0.722836992320783
StudyP,P_18,StudyP:P_18,SE002,4320,0.7238222502805837,0.7075982042648709,0.6367592592592592,0.6211728395061729,0.710388608305275
StudyP,P_19,StudyP:P_19,SE001,4316,0.7744485813019204,0.7890723607471123,0.7548464939604932,0.7557440254321701,0.7876349024999243
StudyP,P_19,StudyP:P_19,SE002,4320,0.8838909932659933,0.8905801066217732,0.7969290123456791,0.818543771043771,0.8878921156004489
StudyQ,Q_01,StudyQ:Q_01,SE001,4320,0.8712485970819305,0.8781193883277217,0.8061223344556676,0.8177286756453424,0.8786237373737373
StudyQ,Q_01,StudyQ:Q_01,SE002,4320,0.8347572951739617,0.823759820426487,0.7826627384960719,0.7695524691358024,0.8184371492704826
StudyQ,Q_01,StudyQ:Q_01,SE003,4320,0.8106853254769921,0.7998891694725028,0.7852861952861954,0.7619402356902357,0.7986644219977553
StudyQ,Q_02,StudyQ:Q_02,SE001,4320,0.8080527497194163,0.7899845679012345,0.7906565656565656,0.7837184343434345,0.7919591750841751
StudyQ,Q_02,StudyQ:Q_02,SE002,4292,0.7241673364707619,0.7143233463885962,0.7031231805233277,0.680286174391425,0.7142999150792547
StudyQ,Q_02,StudyQ:Q_02,SE003,4313,0.9101090592236556,0.9123830002529724,0.9158845602495994,0.912976782752902,0.914366725693566
