held_out_study,n_local_participants,n_local_selections,n_evaluation_participants,draw,method,identified,mean_absolute_error,transported_mean_absolute_error
StudyA,2,216,11,20,intercept_only,True,0.21505720164126113,0.1402585554641084
StudyA,2,216,11,20,intercept_and_slope,False,,0.1402585554641084
StudyA,2,216,11,21,intercept_only,True,0.1448969476800063,0.13944713020210953
StudyA,2,216,11,21,intercept_and_slope,True,0.15729127558684666,0.13944713020210953
StudyA,2,216,11,22,intercept_only,True,0.12306396435955594,0.12485554693329944
StudyA,2,216,11,22,intercept_and_slope,True,0.15844014832734876,0.12485554693329944
StudyA,2,216,11,23,intercept_only,True,0.13614926403083746,0.14121101862637347
StudyA,2,216,11,23,intercept_and_slope,True,0.10345241318949157,0.14121101862637347
StudyA,2,216,11,24,intercept_only,True,0.12912081972716868,0.13018395384920156
StudyA,2,216,11,24,intercept_and_slope,True,0.15662412610507803,0.13018395384920156
StudyA,2,216,11,25,intercept_only,True,0.15128399790977315,0.11795878033509681
StudyA,2,216,11,25,intercept_and_slope,True,0.5024865916300735,0.11795878033509681
StudyA,2,216,11,26,intercept_only,True,0.12942531427580917,0.11447721353589807
StudyA,2,216,11,26,intercept_and_slope,True,0.14320035689732982,0.11447721353589807
StudyA,2,216,11,27,intercept_only,True,0.14035889701360593,0.11474939096818745
StudyA,2,216,11,27,intercept_and_slope,False,,0.11474939096818745
StudyA,2,216,11,28,intercept_only,True,0.1292158594776277,0.1254853680032186
StudyA,2,216,11,28,intercept_and_slope,True,0.16567417731216966,0.1254853680032186
StudyA,2,216,11,29,intercept_only,True,0.17219277099185043,0.10674629719297422
StudyA,2,216,11,29,intercept_and_slope,True,0.1430919592288325,0.10674629719297422
StudyA,2,216,11,30,intercept_only,True,0.12428836710841591,0.12969373776558593
StudyA,2,216,11,30,intercept_and_slope,True,0.10485103668477656,0.12969373776558593
StudyA,2,216,11,31,intercept_only,True,0.12124078313267161,0.12651931580496395
StudyA,2,216,11,31,intercept_and_slope,False,,0.12651931580496395
StudyA,2,216,11,32,intercept_only,True,0.11454820657219737,0.11868558329826541
StudyA,2,216,11,32,intercept_and_slope,True,0.10397548098917059,0.11868558329826541
StudyA,2,216,11,33,intercept_only,True,0.15178700366692693,0.14119210831652207
StudyA,2,216,11,33,intercept_and_slope,True,0.1309246615759485,0.14119210831652207
StudyA,2,216,11,34,intercept_only,True,0.1292158594776277,0.1254853680032186
StudyA,2,216,11,34,intercept_and_slope,True,0.16567417731216966,0.1254853680032186
StudyA,2,216,11,35,intercept_only,True,0.12124078313267161,0.12651931580496395
StudyA,2,216,11,35,intercept_and_slope,False,,0.12651931580496395
StudyA,2,216,11,36,intercept_only,True,0.12093727627552603,0.12792984934132198
StudyA,2,216,11,36,intercept_and_slope,True,0.11819941687372133,0.12792984934132198
StudyA,2,216,11,37,intercept_only,True,0.21049472251318493,0.1391244881097636
StudyA,2,216,11,37,intercept_and_slope,False,,0.1391244881097636
StudyA,2,216,11,38,intercept_only,True,0.1376657595200149,0.11568294382060108
StudyA,2,216,11,38,intercept_and_slope,True,0.09628597412215105,0.11568294382060108
StudyA,2,216,11,39,intercept_only,True,0.14009430356358255,0.10467478935328056
StudyA,2,216,11,39,intercept_and_slope,True,0.09489680746525202,0.10467478935328056
StudyA,2,216,11,40,intercept_only,True,0.12306396435955594,0.12485554693329944
StudyA,2,216,11,40,intercept_and_slope,True,0.15844014832734876,0.12485554693329944
StudyA,2,216,11,41,intercept_only,True,0.1592758729956687,0.1081563561524793
StudyA,2,216,11,41,intercept_and_slope,True,0.09779448659305424,0.1081563561524793
StudyA,2,216,11,42,intercept_only,True,0.12145437929463301,0.13020286415905294
StudyA,2,216,11,42,intercept_and_slope,True,0.2264180099295126,0.13020286415905294
StudyA,2,216,11,43,intercept_only,True,0.15462073811880903,0.14088837653402758
StudyA,2,216,11,43,intercept_and_slope,False,,0.14088837653402758
StudyA,2,216,11,44,intercept_only,True,0.12381453477787135,0.13111966983832302
StudyA,2,216,11,44,intercept_and_slope,False,,0.13111966983832302
StudyA,2,216,11,45,intercept_only,True,0.1414992583939444,0.10214594315961513
StudyA,2,216,11,45,intercept_and_slope,True,0.07981023291837594,0.10214594315961513
