held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates,slope_ci_low,slope_ci_high,intercept_ci_low,intercept_ci_high
StudyS1,20,360,1.9947449741619787,3.6266769382413795,1.311752522427733,1.301257760258448,quasibinomial,,-1.238665822282081,3.8621708671375474,-5.113411208353119,9.102901156677076
StudyS2,48,864,-2.022029432231135,1.1887978238110684,2.1846670079077977,0.4905090757788954,quasibinomial,,1.2232868852911345,3.146047130524461,-4.352030351800422,0.3079714873381514
StudyA,39,1404,-2.1693741503058552,0.7509423924333248,1.9985966253595857,0.4118127581403805,bootstrap,2000.0,1.191458451030336,2.8057347996888353,-3.6411941939395156,-0.6975541066721949
StudyB,56,781,-0.1543831709607068,0.49403699069086543,1.5775557871487882,0.48840795746027726,bootstrap,2000.0,0.620293780763874,2.534817793533702,-1.122677879745353,0.8139115378239394
StudyD,34,1230,0.38876469986737655,0.7839509625028348,0.838861898589682,0.31999067426654143,bootstrap,2000.0,0.21169170163857287,1.466032095540791,-1.14775095228369,1.9252803520184432
StudyE,8,240,0.9504469080854956,0.8899446061562307,0.7824419795079876,0.4519672363616856,bootstrap,1999.0,-0.10339752595301821,1.6682814849689933,-0.7938124682163994,2.6947062843873906
StudyF,89,1067,-0.9317512200739051,0.2806492087817861,1.4181210120436405,0.1493937521270683,bootstrap,2000.0,1.1253146383592825,1.7109273857279985,-1.4818135615758683,-0.381688878571942
StudyG,40,1198,-1.0294058862657214,0.7034043293101282,1.3986114092253006,0.30771751450974993,bootstrap,2000.0,0.7954961633740092,2.0017266550765918,-2.408053038283125,0.3492412657516819
StudyH,64,1926,1.7053010944494158,0.3795269880450904,0.18516677798939613,0.2767128887297466,bootstrap,2000.0,-0.3571805179789466,0.7275140739577388,0.961441866720075,2.4491603221787566
StudyI,26,948,-0.5035507545094049,0.656004450501375,1.0435383608366,0.5512265606899667,bootstrap,2000.0,-0.03684584543761704,2.1239225671108173,-1.7892958511900885,0.7821943421712787
StudyJ,40,1812,0.49091809047291324,0.3994870182381168,0.32638528712739523,0.23607815922305553,bootstrap,2000.0,-0.13631940248630597,0.7890899767410964,-0.2920620775650914,1.273898258510918
StudyK,16,480,0.726534562984313,0.8506746711774021,0.4798229044810691,1.2376054456788401,bootstrap,1997.0,-1.9458391961200996,2.905485005082238,-0.9407571550838485,2.3938262810524744
StudyL,33,990,-1.0879613083808832,0.4307238902550858,1.7750998519648862,0.2969862046579652,bootstrap,2000.0,1.1930175869300328,2.3571821169997396,-1.9321646205618341,-0.24375799619993233
StudyM,42,1260,0.47653333791328867,0.2893026138219819,0.8884824093937631,0.2112169350668477,bootstrap,2000.0,0.47450482373780645,1.3024599950497198,-0.09048936581109557,1.043556041637673
StudyN,16,480,-0.6711960031669565,0.4008053184213273,1.1449856053576304,0.29581500945559314,bootstrap,2000.0,0.5651988407382923,1.7247723699769684,-1.4567599920848662,0.1143679857509532
StudyO,34,1187,0.504920226417173,0.6800316998827424,0.5827690750192174,0.2673076359657111,bootstrap,2000.0,0.05885573573387992,1.1066824143045548,-0.827917413698553,1.837757866532899
StudyQ,54,1944,-0.09440163075196029,0.22527490875884207,1.1077499918528582,0.13692656924741167,bootstrap,2000.0,0.8393788476013015,1.3761211361044148,-0.5359323385398376,0.34712907703591694
StudyR,80,1440,1.2782657935073987,0.6847500627628096,0.7625630241599347,0.27078641424933575,bootstrap,2000.0,0.23183140472849295,1.2932946435913766,-0.06381966791924976,2.620351254934047
StudyS1,20,360,,,,,bootstrap,843.0,,,,
StudyS2,48,864,-2.022029432231135,3.5607321049564056,2.1846670079077977,1.3460826612570402,bootstrap,2000.0,-0.45360652836983073,4.8229405441854265,-9.000936116541187,4.9568772520789155
