arm,held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates
calibration_auc_ea_cohort,StudyI,26,948,-0.839154653084338,0.6177899082003849,1.4860111477338203,0.6142970024025717,cluster,
calibration_auc_ea_cohort,StudyJ,40,1812,0.4831746178048312,0.4062979220837107,0.34183877518575584,0.24872295819806148,cluster,
calibration_auc_ea_cohort,StudyK,16,480,0.7253840016429844,0.8049856732356508,0.4260157081628112,0.3261312251325546,cluster,
calibration_auc_ea_cohort,StudyL,33,990,-1.1852119293557946,0.24134234446012154,1.9027831530762747,0.19993122695068613,cluster,
calibration_auc_ea_cohort,StudyM,42,1260,0.3808696555186909,0.2713570866774758,1.0098835082391893,0.2216517825930078,cluster,
calibration_auc_ea_cohort,StudyN,16,480,-0.6200863737564342,0.39031173757563287,1.1560222023681603,0.2410844371899446,cluster,
calibration_auc_ea_cohort,StudyO,34,1187,0.5493361768650852,0.6597210244535086,0.5606823277534233,0.25719453729323527,cluster,
calibration_auc_ea_cohort,StudyQ,54,1944,0.00956349432808995,0.20831229259536505,1.0862826933717007,0.13034371120636043,cluster,
calibration_auc_ea_cohort,StudyR,80,1440,1.4334961636276398,0.4288606853482004,0.7173526547274954,0.19244688440547203,cluster,
calibration_auc_ea_cohort,StudyS1,20,360,1.6521158213165803,2.7505224300148683,1.4146175025186556,0.8090666190142972,cluster,
calibration_auc_ea_cohort,StudyS2,48,864,-1.6972522401556764,1.299549977343394,2.0731046005660607,0.45711606335120064,cluster,
calibration_auc_cohort_z,StudyA,39,1404,-1.634128890250612,0.46169436785273266,1.8264949854140675,0.2905880395051992,cluster,
calibration_auc_cohort_z,StudyB,56,781,-0.8313520446761564,0.6513231612224887,2.1689740491926064,0.6215915638674296,cluster,
calibration_auc_cohort_z,StudyD,34,1230,1.012251840896664,0.3361483736737449,0.710203410786296,0.16323843847232683,cluster,
calibration_auc_cohort_z,StudyE,8,240,0.8895568206635125,0.5603511941616787,0.9742601440069603,0.3611083822823004,cluster,
calibration_auc_cohort_z,StudyF,89,1067,-3.085768295891898,0.2894172021194625,2.767124129351049,0.21169807412722338,cluster,
calibration_auc_cohort_z,StudyG,40,1198,-0.011647064566192467,0.31307289842787245,1.353928497178881,0.21805412242383418,cluster,
calibration_auc_cohort_z,StudyH,64,1926,1.6625715334294502,0.3861130747541609,0.18847622088477342,0.24608259039961536,cluster,
calibration_auc_cohort_z,StudyI,26,948,-1.1983096625063288,0.8605246219869311,1.0323596157995671,0.4409783591375752,cluster,
calibration_auc_cohort_z,StudyJ,40,1812,0.06401419437397565,0.5990983061347929,0.4395650949191182,0.2674942601469508,cluster,
calibration_auc_cohort_z,StudyK,16,480,-0.25925998936838335,1.3962766517735807,0.7933726998699449,0.56782278627201,cluster,
